Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Turks and Caicos Islands,Americas,6148,15878.919,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5811,10924.575,82,154.159,2,43,80.839,0,0,0
Cook Islands,Western Pacific,5697,32435.664,40,227.739,0,1,5.693,0,0,0
Palau,Western Pacific,5126,28332.965,61,337.166,43,6,33.164,0,0,0
Saint Barthélemy,Americas,4614,46676.783,20,202.327,0,4,40.465,0,0,0
Anguilla,Americas,3294,21957.072,91,606.586,0,9,59.992,0,0,0
Kiribati,Western Pacific,3183,2664.736,85,71.16,14,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2762,47661.777,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1717,49296.583,15,430.663,0,0,0,0,0,0
Montserrat,Americas,1003,20064.013,28,560.112,0,8,160.032,2,40.008,0
Sint Eustatius,Americas,937,29850.271,13,414.145,13,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,607,31401.966,2,103.466,2,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,34,29.559,4,3.478,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,1,1.689,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
